"","Smp","Model","Group","variable","value","Classification","Group2","Group3"
"537","GSE162025 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",0.97,NA,"Primary cancer cells","Primary cancer cells"
"538","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"539","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"540","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",0.96,NA,"Primary cancer cells","Primary cancer cells"
"541","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"542","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"543","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"544","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",0.996,NA,"Primary cancer cells","Primary cancer cells"
"545","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"546","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"547","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"548","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",0.92,NA,"Primary cancer cells","Primary cancer cells"
"549","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"550","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"551","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"552","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"553","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"554","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"555","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"556","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"557","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"558","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"559","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"560","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"561","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"562","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.99,NA,"Primary cancer cells","Primary cancer cells"
"563","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"564","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"565","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"566","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"567","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"568","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"569","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.96,NA,"Primary cancer cells","Primary cancer cells"
"570","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"571","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"572","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.998,NA,"Primary cancer cells","Primary cancer cells"
"573","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.998,NA,"Primary cancer cells","Primary cancer cells"
"574","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.99,NA,"Primary cancer cells","Primary cancer cells"
"575","GSE150825 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"576","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"577","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"578","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"579","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"580","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"581","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"582","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.996,NA,"Primary cancer cells","Primary cancer cells"
"583","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"584","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"585","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"586","GSE150825 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.9,NA,"Primary cancer cells","Primary cancer cells"
"587","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"588","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"589","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"590","GSE162025 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"591","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"592","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"593","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"594","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"595","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"596","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.998,NA,"Primary cancer cells","Primary cancer cells"
"597","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"598","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.995,NA,"Primary cancer cells","Primary cancer cells"
"599","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"600","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.98,NA,"Primary cancer cells","Primary cancer cells"
"601","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.965,NA,"Primary cancer cells","Primary cancer cells"
"602","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"603","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"604","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"605","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"606","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"607","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"608","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.995,NA,"Primary cancer cells","Primary cancer cells"
"609","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"610","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"611","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"612","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"613","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"614","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"615","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"616","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"617","GSE162025 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"618","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"619","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"620","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"621","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"622","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"623","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"624","GSE162025 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.95,NA,"Primary cancer cells","Primary cancer cells"
"625","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"626","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"627","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.996,NA,"Primary cancer cells","Primary cancer cells"
"628","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"629","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"630","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"631","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"632","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"633","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"634","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"635","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.996,NA,"Primary cancer cells","Primary cancer cells"
"636","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"637","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"638","GSE150825 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.85,NA,"Primary cancer cells","Primary cancer cells"
"639","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"640","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"641","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"642","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"643","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.996,NA,"Primary cancer cells","Primary cancer cells"
"644","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"645","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"646","GSE162025 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.98,NA,"Primary cancer cells","Primary cancer cells"
"647","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"648","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"649","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"650","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"651","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"652","GSE150825 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.96,NA,"Primary cancer cells","Primary cancer cells"
"653","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"654","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.995,NA,"Primary cancer cells","Primary cancer cells"
"655","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"656","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",0.995,NA,"Primary cancer cells","Primary cancer cells"
"657","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
"658","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set2","Top2",1,NA,"Primary cancer cells","Primary cancer cells"
