"","Sample","Method_other","value_other","value_panctc","Metr"
"79","WBC_GSE94820+BC_GSE51827_CL","scGPT",1,0.928571428571429,"Sensitivity"
"80","WBC_GSE94820+BC_GSE51827_SC","scGPT",0.8,0.866666666666667,"Sensitivity"
"81","WBC_GSE94820+BC_GSE55807_SC","scGPT",1,1,"Sensitivity"
"82","WBC_GSE94820+BC_GSE75367_SC","scGPT",0.655737705,0.754098360655738,"Sensitivity"
"83","WBC_GSE94820+BC_GSE86978_CL","scGPT",0.954545455,0.863636363636364,"Sensitivity"
"84","WBC_GSE94820+BC_GSE86978_SC","scGPT",0.727272727,0.836363636363636,"Sensitivity"
"85","WBC_GSE94820+HCC_CNP0000095_SC","scGPT",0.017699115,0.699115044247788,"Sensitivity"
"86","WBC_GSE94820+MELA_GSE157740_SC","scGPT",0.846153846,1,"Sensitivity"
"87","WBC_GSE94820+MELA_GSE157743_SC1","scGPT",0.421052632,0.776315789473684,"Sensitivity"
"88","WBC_GSE94820+MELA_GSE157743_SC2","scGPT",0.85,1,"Sensitivity"
"89","WBC_GSE94820+NSCLC_GSE74639_SC","scGPT",1,1,"Sensitivity"
"90","WBC_GSE94820+PC_GSE67980_SC","scGPT",0.987012987,1,"Sensitivity"
"91","WBC_GSE94820+BC_GSE144494_CL","copykat",0.163800904977376,0.990950226244344,"Specificity"
"92","WBC_GSE94820+BC_GSE144494_SC","copykat",0.999095022624434,0.990950226244344,"Specificity"
"93","WBC_GSE94820+BC_GSE144495_SC","copykat",0.0244343891402715,0.990950226244344,"Specificity"
"94","WBC_GSE94820+BC_GSE51827_CL","copykat",0.446153846153846,0.990950226244344,"Specificity"
"95","WBC_GSE94820+BC_GSE51827_SC","copykat",0.169230769230769,0.990950226244344,"Specificity"
"96","WBC_GSE94820+BC_GSE55807_SC","copykat",0.476018099547511,0.990950226244344,"Specificity"
"97","WBC_GSE94820+BC_GSE75367_SC","copykat",0.551131221719457,0.990950226244344,"Specificity"
"98","WBC_GSE94820+BC_GSE86978_CL","copykat",0.524886877828054,0.990950226244344,"Specificity"
